Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,hbox,plup,JigglyPuff_Green,NA,Fox_Green,NA,Battlefield,P3:Fox_Green,5,GF2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
0,0,NA,0,NA,4,NA,4,NA,NA
1,0,NA,0,NA,4,NA,4,NA,NA
2,0,NA,0,NA,4,NA,4,NA,NA
3,0,NA,0,NA,4,NA,4,NA,NA
4,0,NA,0,NA,4,NA,4,NA,NA
5,0,NA,0,NA,4,NA,4,NA,NA
6,0,NA,0,NA,4,NA,4,NA,NA
7,0,NA,0,NA,4,NA,4,NA,NA
8,0,NA,0,NA,4,NA,4,NA,NA
9,0,NA,0,NA,4,NA,4,NA,NA
10,0,NA,0,NA,4,NA,4,NA,NA
11,0,NA,0,NA,4,NA,4,NA,NA
12,0,NA,0,NA,4,NA,4,NA,NA
13,0,NA,0,NA,4,NA,4,NA,NA
14,0,NA,0,NA,4,NA,4,NA,NA
15,0,NA,0,NA,4,NA,4,NA,NA
16,0,NA,0,NA,4,NA,4,NA,NA
17,0,NA,0,NA,4,NA,4,NA,NA
18,0,NA,0,NA,4,NA,4,NA,NA
19,0,NA,0,NA,4,NA,4,NA,NA
20,0,NA,0,NA,4,NA,4,NA,NA
21,0,NA,0,NA,4,NA,4,NA,NA
22,0,NA,0,NA,4,NA,4,NA,NA
23,0,NA,0,NA,4,NA,4,NA,NA
24,0,NA,0,NA,4,NA,4,NA,NA
25,0,NA,0,NA,4,NA,4,NA,NA
26,0,NA,0,NA,4,NA,4,NA,NA
27,0,NA,0,NA,4,NA,4,NA,NA
28,0,NA,0,NA,4,NA,4,NA,NA
29,0,NA,0,NA,4,NA,4,NA,NA
30,0,NA,0,NA,4,NA,4,NA,NA
31,12,NA,0,NA,4,NA,4,NA,NA
32,12,NA,0,NA,4,NA,4,NA,NA
33,12,NA,0,NA,4,NA,4,NA,NA
34,12,NA,0,NA,4,NA,4,NA,NA
35,12,NA,0,NA,4,NA,4,NA,NA
36,12,NA,0,NA,4,NA,4,NA,NA
37,12,NA,0,NA,4,NA,4,NA,NA
38,12,NA,0,NA,4,NA,4,NA,NA
39,12,NA,0,NA,4,NA,4,NA,NA
40,12,NA,0,NA,4,NA,4,NA,NA
41,12,NA,0,NA,4,NA,4,NA,NA
42,12,NA,0,NA,4,NA,4,NA,NA
43,12,NA,0,NA,4,NA,4,NA,NA
44,17,NA,0,NA,4,NA,4,NA,NA
45,17,NA,0,NA,4,NA,4,NA,NA
46,17,NA,0,NA,4,NA,4,NA,NA
47,17,NA,0,NA,4,NA,4,NA,NA
48,17,NA,0,NA,4,NA,4,NA,NA
49,17,NA,0,NA,4,NA,4,NA,NA
50,17,NA,0,NA,4,NA,4,NA,NA
51,17,NA,0,NA,4,NA,4,NA,NA
52,17,NA,0,NA,4,NA,4,NA,NA
53,17,NA,0,NA,4,NA,4,NA,NA
54,17,NA,0,NA,4,NA,4,NA,NA
55,17,NA,0,NA,4,NA,4,NA,NA
56,17,NA,0,NA,4,NA,4,NA,NA
57,17,NA,0,NA,4,NA,4,NA,NA
58,17,NA,0,NA,4,NA,4,NA,NA
59,17,NA,0,NA,4,NA,4,NA,NA
60,17,NA,0,NA,4,NA,4,NA,NA
61,17,NA,0,NA,4,NA,4,NA,NA
62,17,NA,0,NA,4,NA,4,NA,NA
63,17,NA,0,NA,4,NA,4,NA,NA
64,17,NA,0,NA,4,NA,4,NA,NA
65,17,NA,0,NA,4,NA,4,NA,NA
66,17,NA,0,NA,4,NA,4,NA,NA
67,17,NA,0,NA,4,NA,4,NA,NA
68,17,NA,0,NA,3,NA,4,NA,NA
69,17,NA,0,NA,3,NA,4,NA,NA
70,17,NA,0,NA,3,NA,4,NA,NA
71,17,NA,0,NA,3,NA,4,NA,NA
72,17,NA,0,NA,3,NA,4,NA,NA
73,17,NA,0,NA,3,NA,4,NA,NA
74,17,NA,0,NA,3,NA,4,NA,NA
75,17,NA,0,NA,3,NA,4,NA,NA
76,17,NA,0,NA,3,NA,4,NA,NA
77,17,NA,0,NA,3,NA,4,NA,NA
78,17,NA,0,NA,3,NA,4,NA,NA
79,17,NA,0,NA,3,NA,4,NA,NA
80,17,NA,0,NA,3,NA,4,NA,NA
81,17,NA,0,NA,3,NA,4,NA,NA
82,17,NA,0,NA,3,NA,4,NA,NA
83,17,NA,0,NA,3,NA,4,NA,NA
84,17,NA,0,NA,3,NA,4,NA,NA
85,17,NA,0,NA,3,NA,4,NA,NA
86,17,NA,0,NA,3,NA,4,NA,NA
87,17,NA,0,NA,3,NA,4,NA,NA
88,17,NA,0,NA,3,NA,4,NA,NA
89,17,NA,0,NA,3,NA,4,NA,NA
90,17,NA,0,NA,3,NA,4,NA,NA
91,17,NA,0,NA,3,NA,4,NA,NA
92,17,NA,0,NA,3,NA,4,NA,NA
93,17,NA,0,NA,3,NA,4,NA,NA
94,17,NA,0,NA,3,NA,4,NA,NA
95,17,NA,0,NA,3,NA,4,NA,NA
96,17,NA,0,NA,3,NA,4,NA,NA
97,17,NA,0,NA,3,NA,4,NA,NA
98,17,NA,0,NA,3,NA,4,NA,NA
99,17,NA,0,NA,3,NA,4,NA,NA
100,17,NA,0,NA,3,NA,4,NA,NA
